Date,Year,Type,Country,Area,Location,Activity,Sex,Age,Injury,Fatal,Time,Species
30-Aug-2008,2008.0,Unprovoked,AUSTRALIA,New South Wales,"Tallow Beach, Byron Bay",Surfing,Male,29.0,"No injury, bumped off board by the shark",N,,
30-Aug-2008,2008.0,Invalid,USA,Hawaii,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,Male,27.0,Death was probably due to drowning,,19h20,Shark involvement not confirmed
30-Aug-2008,2008.0,Provoked,ENGLAND,North Devon, Lundy Island,Fishing,Male,52.0,Wrist bitten by hooked shark PROVOKED INCIDENT,N,,Blue shark
28-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,19.0,Superfical cut to left ankle,N,12h00,
27-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,26.0,Lacerations to lower left leg,N,11h00,6' shark
24-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",Male,20.0,Minor injury to left foot,N,15h00,
24-Aug-2008,2008.0,Invalid,USA,North Carolina,"Surf City, Topsail Island, Pender County",Surfing,Female,20.0,Calf bitten,,18h00,Shark involvement not confirmed
20-Aug-2008,2008.0,Unprovoked,USA,Florida,"Sanibel Island, Lee County",Swimming,Male,47.0,3 lacerations to forearm,N,14h45,
18-Aug-2008,2008.0,Invalid,USA,South Carolina,"North Myrtle Beach, Horry County",,Male,7.0,Minor injuries,,,Shark involvement not confirmed
16-Aug-2008,2008.0,Unprovoked,USA,US Virgin Islands,Buck Island,Treading water,Female,38.0,Severe lacerations to left foot,N,Dusk,8' bull shark or Caribbean reef shark
12-Aug-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,Female,13.0,Puncture wounds & 3-inch laceration to right calf,N,12h05,
11-Aug-2008,2008.0,Unprovoked,USA,Hawaii,"Ala Moana Beach Park, Oah'u",Diving,Male,,"No injury, shark grabbed his bag of fish",N,14h00,"Tiger shark, 12'"
30-Jul-2008,2008.0,Unprovoked,AUSTRALIA,Victoria,Levys Beach,Surfing,Male,31.0,"No injury, surfboard leash severed",N,10h30,8' white shark or 7-gill shark
Reported 30-Jul-2008,2008.0,Unprovoked,SOUTH AFRICA,,,,Male,,Lacerations to fingers,N,,White shark
27-Jul-2008,2008.0,Unprovoked,PANAMA,San Carlos,Playa Teta,Swimming or surfing,Male,,5 lacerations to left foot,N,18h00,3'  shark
26-Jul-2008,2008.0,Unprovoked,MEXICO,Cabo San Lucas,,Swimming,Male,33.0,3 puncture wounds to toe,N,,2'  shark
26-Jul-2008,2008.0,Unprovoked,USA,Hawaii,"Honokowai, Maui",Swimming,Male,,Minor injury,N,15h30,2' to 3' reef shark
25-Jul-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,17.0,Right foot bitten,N,09h00,
25-Jul-2008,2008.0,Unprovoked,USA,Hawaii,"Lahilahi Point, Oahu",Snorkeling,Female,44.0,Forearm bitten ,N,08h45,
24-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Surf City, Topsail Island, Pender County",Wading,Male,9.0,Minor lacerations to  toe,N,,3' shark
24-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Topsail Island, Pender County",Wading,Female,8.0,Lacerations to dorsum of right foot ,N,13h00,3' to 4' shark
23-Jul-2008,2008.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,15.0,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,14h30,
19-Jul-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Wading,Male,16.0,Lacerations to lower left leg,N,13h55,4' shark
18-Jul-2008,2008.0,Unprovoked,EGYPT,,Daedalus Reef,Diving,Male,,Leg severed,N,,Oceanic whitetip shark
13-Jul-2008,2008.0,Invalid,USA,North Carolina,"Carolina Beach, New Hanover County",Body surfing,Male,52.0,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",,,Shark involvement not confirmed
11-Jul-2008,2008.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Surfing,Male,24.0,Laceration to foream,N,14h00,
09-Jul-2008,2008.0,Unprovoked,USA,North Carolina,"Emerald Isle, Carteret County",Swimming,Female,14.0,Lacerations to  right foot,N,19h30,
05-Jul-2008,2008.0,Unprovoked,USA,South Carolina,"Litchfield Beach, Georgetown County",,Female,17.0,Lacerations to right foot,N,14h21,
Late Jul-2008,2008.0,Boating,UNITED KINGDOM,Sussex,"Rock-a-Nore, Hastings",Rowing an inflatable dinghy,Male,16.0,Shark leapt into & damaged the dinghy but no injury to occupants,N,,"Starry smoothhound shark, 1m"
28-Jun-2008,2008.0,Invalid,USA,Hawaii,"Kamilo Point, Hawai'i",Wading,Male,53.0,Probable drowning with post-mortem bites,,Afternoon,Shark involvement prior to death not confirmed
28-Jun-2008,2008.0,Unprovoked,BAHAMAS,Abaco Islands,,Spearfishing,Male,42.0,Lacerations to calf,N,11h00,"Bull shark, 6' to 7'"
28-Jun-2008,2008.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Mossel Bay,Surf skiing ,Male,46.0,"No injury, ski bitten",N,14h00,"White shark, 2m"
Reported 26-Jun-2008,2008.0,Unprovoked,SOUTH AFRICA,Western Cape Province,Struis Bay,Spearfishing (free diving),Male,,No injury,N,,"White shark, 4.5m"
26-Jun-2008,2008.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,Male,29.0,Minor laceration to foot,N,Afternoon,
26-Jun-2008,2008.0,Unprovoked,USA,South Carolina,"Isle of Palms, Charleston County",Swimming,Male,37.0,Lacerations to hand,N,11h15,4.5 to 5' shark
24-Jun-2008,2008.0,Unprovoked,BRAZIL,Bahia,Guarajuba,Surfing,Male,,"No injury, board bitten",N,Morning,
21-Jun-2008,2008.0,Boating,USA,California,"West Cove, Catalina Island",Kayaking,Female,40.0," No injury. Shark bumped kayak, flinging her into the  water. ",N,09h00,"White shark, 15'"
20-Jun-2008,2008.0,Unprovoked,USA,Florida,"Fernandina Beach, Nassau County",Wading,Female,35.0,Lacerations to lower right calf,N,11h10,
11-Jun-2008,2008.0,Unprovoked,BRAZIL,Pernambuco,"Punta Del Chifre, Olinda",Surfing,Male,14.0,Laceration to left leg & foot,N,,
07-Jun-2008,2008.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Body surfing,Male,40.0,Lacerations & abrasions to right hand,N,,
Reported 02-Jun-2008,2008.0,Boating,SCOTLAND,Easter Ross,Balintore Bay,Fishing,,,No injury to occupants; shark struck their boat,N,,Basking shark
01-Jun-2008,2008.0,Unprovoked,USA,South Carolina,Cherry Grove,Body surfing,Female,15.0,Foot bitten,N,18h30,5' shark
